filename	barcode(s)
unc.edu.025caa8f+AC0-3290+AC0-488b+AC0-b7d0+AC0-aacf769a53e4.2158032.rsem.genes.results	TCGA+AC0-KK+AC0-A6E7+AC0-01A+AC0-
unc.edu.025caa8f+AC0-3290+AC0-488b+AC0-b7d0+AC0-aacf769a53e4.2158033.rsem.isoforms.results	TCGA+AC0-KK+AC0-A6E7+AC0-01A+AC0-
unc.edu.025caa8f+AC0-3290+AC0-488b+AC0-b7d0+AC0-aacf769a53e4.2158050.rsem.isoforms.normalized+AF8-results	TCGA+AC0-KK+AC0-A6E7+AC0-01A+AC0-
unc.edu.025caa8f+AC0-3290+AC0-488b+AC0-b7d0+AC0-aacf769a53e4.2158053.rsem.genes.normalized+AF8-results	TCGA+AC0-KK+AC0-A6E7+AC0-01A+AC0-
unc.edu.025caa8f+AC0-3290+AC0-488b+AC0-b7d0+AC0-aacf769a53e4.2158239.bt.exon+AF8-quantification.txt	TCGA+AC0-KK+AC0-A6E7+AC0-01A+AC0-
unc.edu.027f330a+AC0-6206+AC0-4fd4+AC0-8790+AC0-8bb5e0207bc1.2156987.junction+AF8-quantification.txt	TCGA+AC0-HC+AC0-A6HY+AC0-01A+AC0-
unc.edu.027f330a+AC0-6206+AC0-4fd4+AC0-8790+AC0-8bb5e0207bc1.2157439.rsem.genes.results	TCGA+AC0-HC+AC0-A6HY+AC0-01A+AC0-
unc.edu.027f330a+AC0-6206+AC0-4fd4+AC0-8790+AC0-8bb5e0207bc1.2157440.rsem.isoforms.results	TCGA+AC0-HC+AC0-A6HY+AC0-01A+AC0-
unc.edu.027f330a+AC0-6206+AC0-4fd4+AC0-8790+AC0-8bb5e0207bc1.2157456.rsem.genes.normalized+AF8-results	TCGA+AC0-HC+AC0-A6HY+AC0-01A+AC0-
unc.edu.027f330a+AC0-6206+AC0-4fd4+AC0-8790+AC0-8bb5e0207bc1.2157459.rsem.isoforms.normalized+AF8-results	TCGA+AC0-HC+AC0-A6HY+AC0-01A+AC0-
unc.edu.027f330a+AC0-6206+AC0-4fd4+AC0-8790+AC0-8bb5e0207bc1.2157579.bt.exon+AF8-quantification.txt	TCGA+AC0-HC+AC0-A6HY+AC0-01A+AC0-
unc.edu.02fea7d7+AC0-d604+AC0-41c2+AC0-9506+AC0-a62824140df4.2394091.junction+AF8-quantification.txt	TCGA+AC0-KK+AC0-A8IB+AC0-01A+AC0-
unc.edu.02fea7d7+AC0-d604+AC0-41c2+AC0-9506+AC0-a62824140df4.2394566.rsem.genes.results	TCGA+AC0-KK+AC0-A8IB+AC0-01A+AC0-
unc.edu.02fea7d7+AC0-d604+AC0-41c2+AC0-9506+AC0-a62824140df4.2394567.rsem.isoforms.results	TCGA+AC0-KK+AC0-A8IB+AC0-01A+AC0-
unc.edu.02fea7d7+AC0-d604+AC0-41c2+AC0-9506+AC0-a62824140df4.2394585.rsem.isoforms.normalized+AF8-results	TCGA+AC0-KK+AC0-A8IB+AC0-01A+AC0-
unc.edu.02fea7d7+AC0-d604+AC0-41c2+AC0-9506+AC0-a62824140df4.2394588.rsem.genes.normalized+AF8-results	TCGA+AC0-KK+AC0-A8IB+AC0-01A+AC0-
unc.edu.02fea7d7+AC0-d604+AC0-41c2+AC0-9506+AC0-a62824140df4.2394758.bt.exon+AF8-quantification.txt	TCGA+AC0-KK+AC0-A8IB+AC0-01A+AC0-
unc.edu.038600cd+AC0-c0ca+AC0-4de4+AC0-9539+AC0-570f7b960793.2043817.junction+AF8-quantification.txt	TCGA+AC0-FC+AC0-7961+AC0-01A+AC0-
unc.edu.038600cd+AC0-c0ca+AC0-4de4+AC0-9539+AC0-570f7b960793.2044504.rsem.genes.results	TCGA+AC0-FC+AC0-7961+AC0-01A+AC0-
unc.edu.038600cd+AC0-c0ca+AC0-4de4+AC0-9539+AC0-570f7b960793.2044505.rsem.isoforms.results	TCGA+AC0-FC+AC0-7961+AC0-01A+AC0-
unc.edu.038600cd+AC0-c0ca+AC0-4de4+AC0-9539+AC0-570f7b960793.2044532.rsem.genes.normalized+AF8-results	TCGA+AC0-FC+AC0-7961+AC0-01A+AC0-
unc.edu.038600cd+AC0-c0ca+AC0-4de4+AC0-9539+AC0-570f7b960793.2044535.rsem.isoforms.normalized+AF8-results	TCGA+AC0-FC+AC0-7961+AC0-01A+AC0-
unc.edu.038600cd+AC0-c0ca+AC0-4de4+AC0-9539+AC0-570f7b960793.2044784.bt.exon+AF8-quantification.txt	TCGA+AC0-FC+AC0-7961+AC0-01A+AC0-
unc.edu.0386cc4d+AC0-0318+AC0-4293+AC0-a22e+AC0-869c3b34fa63.2455928.junction+AF8-quantification.txt	TCGA+AC0-V1+AC0-A8MM+AC0-01A+AC0-
unc.edu.0386cc4d+AC0-0318+AC0-4293+AC0-a22e+AC0-869c3b34fa63.2456841.rsem.genes.results	TCGA+AC0-V1+AC0-A8MM+AC0-01A+AC0-
unc.edu.0386cc4d+AC0-0318+AC0-4293+AC0-a22e+AC0-869c3b34fa63.2456842.rsem.isoforms.results	TCGA+AC0-V1+AC0-A8MM+AC0-01A+AC0-
unc.edu.0386cc4d+AC0-0318+AC0-4293+AC0-a22e+AC0-869c3b34fa63.2456855.rsem.isoforms.normalized+AF8-results	TCGA+AC0-V1+AC0-A8MM+AC0-01A+AC0-
unc.edu.0386cc4d+AC0-0318+AC0-4293+AC0-a22e+AC0-869c3b34fa63.2456856.rsem.genes.normalized+AF8-results	TCGA+AC0-V1+AC0-A8MM+AC0-01A+AC0-
unc.edu.0386cc4d+AC0-0318+AC0-4293+AC0-a22e+AC0-869c3b34fa63.2456969.bt.exon+AF8-quantification.txt	TCGA+AC0-V1+AC0-A8MM+AC0-01A+AC0-
unc.edu.041bbea8+AC0-d1fe+AC0-4f96+AC0-be85+AC0-67a95e651044.2322212.junction+AF8-quantification.txt	TCGA+AC0-SU+AC0-A7E7+AC0-01A+AC0-
unc.edu.041bbea8+AC0-d1fe+AC0-4f96+AC0-be85+AC0-67a95e651044.2322731.rsem.genes.results	TCGA+AC0-SU+AC0-A7E7+AC0-01A+AC0-
unc.edu.041bbea8+AC0-d1fe+AC0-4f96+AC0-be85+AC0-67a95e651044.2322732.rsem.isoforms.results	TCGA+AC0-SU+AC0-A7E7+AC0-01A+AC0-
unc.edu.041bbea8+AC0-d1fe+AC0-4f96+AC0-be85+AC0-67a95e651044.2322742.rsem.genes.normalized+AF8-results	TCGA+AC0-SU+AC0-A7E7+AC0-01A+AC0-
unc.edu.041bbea8+AC0-d1fe+AC0-4f96+AC0-be85+AC0-67a95e651044.2322745.rsem.isoforms.normalized+AF8-results	TCGA+AC0-SU+AC0-A7E7+AC0-01A+AC0-
unc.edu.041bbea8+AC0-d1fe+AC0-4f96+AC0-be85+AC0-67a95e651044.2322842.bt.exon+AF8-quantification.txt	TCGA+AC0-SU+AC0-A7E7+AC0-01A+AC0-
unc.edu.0502e061+AC0-ae1d+AC0-4384+AC0-b2a5+AC0-24091a92eeab.2232946.junction+AF8-quantification.txt	TCGA+AC0-EJ+AC0-7218+AC0-01B+AC0-
unc.edu.0502e061+AC0-ae1d+AC0-4384+AC0-b2a5+AC0-24091a92eeab.2234281.rsem.genes.results	TCGA+AC0-EJ+AC0-7218+AC0-01B+AC0-
unc.edu.0502e061+AC0-ae1d+AC0-4384+AC0-b2a5+AC0-24091a92eeab.2234282.rsem.isoforms.results	TCGA+AC0-EJ+AC0-7218+AC0-01B+AC0-
unc.edu.0502e061+AC0-ae1d+AC0-4384+AC0-b2a5+AC0-24091a92eeab.2234298.rsem.genes.normalized+AF8-results	TCGA+AC0-EJ+AC0-7218+AC0-01B+AC0-
unc.edu.0502e061+AC0-ae1d+AC0-4384+AC0-b2a5+AC0-24091a92eeab.2234301.rsem.isoforms.normalized+AF8-results	TCGA+AC0-EJ+AC0-7218+AC0-01B+AC0-
unc.edu.0502e061+AC0-ae1d+AC0-4384+AC0-b2a5+AC0-24091a92eeab.2234366.bt.exon+AF8-quantification.txt	TCGA+AC0-EJ+AC0-7218+AC0-01B+AC0-
unc.edu.0514988e+AC0-85d3+AC0-4ce1+AC0-a860+AC0-39bd5ac19660.2483515.junction+AF8-quantification.txt	TCGA+AC0-V1+AC0-A8WS+AC0-01A+AC0-
unc.edu.0514988e+AC0-85d3+AC0-4ce1+AC0-a860+AC0-39bd5ac19660.2486114.rsem.genes.results	TCGA+AC0-V1+AC0-A8WS+AC0-01A+AC0-
unc.edu.0514988e+AC0-85d3+AC0-4ce1+AC0-a860+AC0-39bd5ac19660.2486115.rsem.isoforms.results	TCGA+AC0-V1+AC0-A8WS+AC0-01A+AC0-
unc.edu.0514988e+AC0-85d3+AC0-4ce1+AC0-a860+AC0-39bd5ac19660.2486131.rsem.isoforms.normalized+AF8-results	TCGA+AC0-V1+AC0-A8WS+AC0-01A+AC0-
unc.edu.0514988e+AC0-85d3+AC0-4ce1+AC0-a860+AC0-39bd5ac19660.2486132.rsem.genes.normalized+AF8-results	TCGA+AC0-V1+AC0-A8WS+AC0-01A+AC0-
unc.edu.0514988e+AC0-85d3+AC0-4ce1+AC0-a860+AC0-39bd5ac19660.2486361.bt.exon+AF8-quantification.txt	TCGA+AC0-V1+AC0-A8WS+AC0-01A+AC0-
unc.edu.063f416b+AC0-291b+AC0-4242+AC0-acb4+AC0-9587a2dc3244.1211077.junction+AF8-quantification.txt	TCGA+AC0-CH+AC0-5751+AC0-01A+AC0-
unc.edu.063f416b+AC0-291b+AC0-4242+AC0-acb4+AC0-9587a2dc3244.1213512.rsem.genes.results	TCGA+AC0-CH+AC0-5751+AC0-01A+AC0-
unc.edu.063f416b+AC0-291b+AC0-4242+AC0-acb4+AC0-9587a2dc3244.1213513.rsem.isoforms.results	TCGA+AC0-CH+AC0-5751+AC0-01A+AC0-
unc.edu.063f416b+AC0-291b+AC0-4242+AC0-acb4+AC0-9587a2dc3244.1213551.rsem.isoforms.normalized+AF8-results	TCGA+AC0-CH+AC0-5751+AC0-01A+AC0-
unc.edu.063f416b+AC0-291b+AC0-4242+AC0-acb4+AC0-9587a2dc3244.1213554.rsem.genes.normalized+AF8-results	TCGA+AC0-CH+AC0-5751+AC0-01A+AC0-
unc.edu.063f416b+AC0-291b+AC0-4242+AC0-acb4+AC0-9587a2dc3244.1756891.bt.exon+AF8-quantification.txt	TCGA+AC0-CH+AC0-5751+AC0-01A+AC0-
unc.edu.06c95ac2+AC0-2f97+AC0-4200+AC0-9a29+AC0-a3ff8cce8697.2314281.junction+AF8-quantification.txt	TCGA+AC0-EJ+AC0-A7NG+AC0-01A+AC0-
unc.edu.06c95ac2+AC0-2f97+AC0-4200+AC0-9a29+AC0-a3ff8cce8697.2315022.rsem.genes.results	TCGA+AC0-EJ+AC0-A7NG+AC0-01A+AC0-
unc.edu.06c95ac2+AC0-2f97+AC0-4200+AC0-9a29+AC0-a3ff8cce8697.2315023.rsem.isoforms.results	TCGA+AC0-EJ+AC0-A7NG+AC0-01A+AC0-
unc.edu.06c95ac2+AC0-2f97+AC0-4200+AC0-9a29+AC0-a3ff8cce8697.2315046.rsem.genes.normalized+AF8-results	TCGA+AC0-EJ+AC0-A7NG+AC0-01A+AC0-
unc.edu.06c95ac2+AC0-2f97+AC0-4200+AC0-9a29+AC0-a3ff8cce8697.2315049.rsem.isoforms.normalized+AF8-results	TCGA+AC0-EJ+AC0-A7NG+AC0-01A+AC0-
unc.edu.06c95ac2+AC0-2f97+AC0-4200+AC0-9a29+AC0-a3ff8cce8697.2315470.bt.exon+AF8-quantification.txt	TCGA+AC0-EJ+AC0-A7NG+AC0-01A+AC0-
unc.edu.07384291+AC0-d5cc+AC0-44d8+AC0-a025+AC0-f10636c91691.1896817.junction+AF8-quantification.txt	TCGA+AC0-G9+AC0-6342+AC0-01A+AC0-
unc.edu.07384291+AC0-d5cc+AC0-44d8+AC0-a025+AC0-f10636c91691.1897647.rsem.genes.results	TCGA+AC0-G9+AC0-6342+AC0-01A+AC0-
unc.edu.07384291+AC0-d5cc+AC0-44d8+AC0-a025+AC0-f10636c91691.1897648.rsem.isoforms.results	TCGA+AC0-G9+AC0-6342+AC0-01A+AC0-
unc.edu.07384291+AC0-d5cc+AC0-44d8+AC0-a025+AC0-f10636c91691.1897840.rsem.genes.normalized+AF8-results	TCGA+AC0-G9+AC0-6342+AC0-01A+AC0-
unc.edu.07384291+AC0-d5cc+AC0-44d8+AC0-a025+AC0-f10636c91691.1897843.rsem.isoforms.normalized+AF8-results	TCGA+AC0-G9+AC0-6342+AC0-01A+AC0-
unc.edu.07384291+AC0-d5cc+AC0-44d8+AC0-a025+AC0-f10636c91691.1898072.bt.exon+AF8-quantification.txt	TCGA+AC0-G9+AC0-6342+AC0-01A+AC0-
unc.edu.07b4fdf4+AC0-19af+AC0-42f6+AC0-8c17+AC0-520047dce246.1359740.junction+AF8-quantification.txt	TCGA+AC0-EJ+AC0-7330+AC0-01A+AC0-
unc.edu.07b4fdf4+AC0-19af+AC0-42f6+AC0-8c17+AC0-520047dce246.1364366.rsem.genes.results	TCGA+AC0-EJ+AC0-7330+AC0-01A+AC0-
unc.edu.07b4fdf4+AC0-19af+AC0-42f6+AC0-8c17+AC0-520047dce246.1364367.rsem.isoforms.results	TCGA+AC0-EJ+AC0-7330+AC0-01A+AC0-
unc.edu.07b4fdf4+AC0-19af+AC0-42f6+AC0-8c17+AC0-520047dce246.1364390.rsem.isoforms.normalized+AF8-results	TCGA+AC0-EJ+AC0-7330+AC0-01A+AC0-
unc.edu.07b4fdf4+AC0-19af+AC0-42f6+AC0-8c17+AC0-520047dce246.1364394.rsem.genes.normalized+AF8-results	TCGA+AC0-EJ+AC0-7330+AC0-01A+AC0-
unc.edu.07b4fdf4+AC0-19af+AC0-42f6+AC0-8c17+AC0-520047dce246.1756197.bt.exon+AF8-quantification.txt	TCGA+AC0-EJ+AC0-7330+AC0-01A+AC0-
unc.edu.07f49527+AC0-0833+AC0-481f+AC0-b172+AC0-cb67601f8b03.1284713.junction+AF8-quantification.txt	TCGA+AC0-CH+AC0-5767+AC0-01A+AC0-
unc.edu.07f49527+AC0-0833+AC0-481f+AC0-b172+AC0-cb67601f8b03.1286930.rsem.genes.results	TCGA+AC0-CH+AC0-5767+AC0-01A+AC0-
unc.edu.07f49527+AC0-0833+AC0-481f+AC0-b172+AC0-cb67601f8b03.1286931.rsem.isoforms.results	TCGA+AC0-CH+AC0-5767+AC0-01A+AC0-
unc.edu.07f49527+AC0-0833+AC0-481f+AC0-b172+AC0-cb67601f8b03.1286950.rsem.isoforms.normalized+AF8-results	TCGA+AC0-CH+AC0-5767+AC0-01A+AC0-
unc.edu.07f49527+AC0-0833+AC0-481f+AC0-b172+AC0-cb67601f8b03.1286953.rsem.genes.normalized+AF8-results	TCGA+AC0-CH+AC0-5767+AC0-01A+AC0-
unc.edu.07f49527+AC0-0833+AC0-481f+AC0-b172+AC0-cb67601f8b03.1760335.bt.exon+AF8-quantification.txt	TCGA+AC0-CH+AC0-5767+AC0-01A+AC0-
unc.edu.08a5e204+AC0-0002+AC0-4148+AC0-8b87+AC0-bbb9b490e825.1967608.junction+AF8-quantification.txt	TCGA+AC0-KK+AC0-A59Y+AC0-01A+AC0-
unc.edu.08a5e204+AC0-0002+AC0-4148+AC0-8b87+AC0-bbb9b490e825.1968596.rsem.genes.results	TCGA+AC0-KK+AC0-A59Y+AC0-01A+AC0-
unc.edu.08a5e204+AC0-0002+AC0-4148+AC0-8b87+AC0-bbb9b490e825.1968597.rsem.isoforms.results	TCGA+AC0-KK+AC0-A59Y+AC0-01A+AC0-
unc.edu.08a5e204+AC0-0002+AC0-4148+AC0-8b87+AC0-bbb9b490e825.1968673.rsem.genes.normalized+AF8-results	TCGA+AC0-KK+AC0-A59Y+AC0-01A+AC0-
unc.edu.08a5e204+AC0-0002+AC0-4148+AC0-8b87+AC0-bbb9b490e825.1968684.rsem.isoforms.normalized+AF8-results	TCGA+AC0-KK+AC0-A59Y+AC0-01A+AC0-
unc.edu.08a5e204+AC0-0002+AC0-4148+AC0-8b87+AC0-bbb9b490e825.1969530.bt.exon+AF8-quantification.txt	TCGA+AC0-KK+AC0-A59Y+AC0-01A+AC0-
unc.edu.094a8a62+AC0-d69a+AC0-4054+AC0-a9d8+AC0-120cf7920c39.1529753.junction+AF8-quantification.txt	TCGA+AC0-HC+AC0-8260+AC0-11A+AC0-
unc.edu.094a8a62+AC0-d69a+AC0-4054+AC0-a9d8+AC0-120cf7920c39.1532076.rsem.genes.results	TCGA+AC0-HC+AC0-8260+AC0-11A+AC0-
unc.edu.094a8a62+AC0-d69a+AC0-4054+AC0-a9d8+AC0-120cf7920c39.1532077.rsem.isoforms.results	TCGA+AC0-HC+AC0-8260+AC0-11A+AC0-
unc.edu.094a8a62+AC0-d69a+AC0-4054+AC0-a9d8+AC0-120cf7920c39.1532099.rsem.genes.normalized+AF8-results	TCGA+AC0-HC+AC0-8260+AC0-11A+AC0-
unc.edu.094a8a62+AC0-d69a+AC0-4054+AC0-a9d8+AC0-120cf7920c39.1532102.rsem.isoforms.normalized+AF8-results	TCGA+AC0-HC+AC0-8260+AC0-11A+AC0-
unc.edu.094a8a62+AC0-d69a+AC0-4054+AC0-a9d8+AC0-120cf7920c39.1749586.bt.exon+AF8-quantification.txt	TCGA+AC0-HC+AC0-8260+AC0-11A+AC0-
unc.edu.095f3c80+AC0-890e+AC0-4529+AC0-816c+AC0-306daf614ec2.1321898.junction+AF8-quantification.txt	TCGA+AC0-HC+AC0-7740+AC0-01A+AC0-
unc.edu.095f3c80+AC0-890e+AC0-4529+AC0-816c+AC0-306daf614ec2.1324880.rsem.genes.results	TCGA+AC0-HC+AC0-7740+AC0-01A+AC0-
unc.edu.095f3c80+AC0-890e+AC0-4529+AC0-816c+AC0-306daf614ec2.1324881.rsem.isoforms.results	TCGA+AC0-HC+AC0-7740+AC0-01A+AC0-
unc.edu.095f3c80+AC0-890e+AC0-4529+AC0-816c+AC0-306daf614ec2.1324914.rsem.isoforms.normalized+AF8-results	TCGA+AC0-HC+AC0-7740+AC0-01A+AC0-
unc.edu.095f3c80+AC0-890e+AC0-4529+AC0-816c+AC0-306daf614ec2.1324915.rsem.genes.normalized+AF8-results	TCGA+AC0-HC+AC0-7740+AC0-01A+AC0-
unc.edu.095f3c80+AC0-890e+AC0-4529+AC0-816c+AC0-306daf614ec2.1754977.bt.exon+AF8-quantification.txt	TCGA+AC0-HC+AC0-7740+AC0-01A+AC0-
unc.edu.0984a482+AC0-7559+AC0-48b4+AC0-a09d+AC0-d95f78816f23.2396486.junction+AF8-quantification.txt	TCGA+AC0-EJ+AC0-A8FN+AC0-01A+AC0-
unc.edu.0984a482+AC0-7559+AC0-48b4+AC0-a09d+AC0-d95f78816f23.2397057.rsem.genes.results	TCGA+AC0-EJ+AC0-A8FN+AC0-01A+AC0-
unc.edu.0984a482+AC0-7559+AC0-48b4+AC0-a09d+AC0-d95f78816f23.2397058.rsem.isoforms.results	TCGA+AC0-EJ+AC0-A8FN+AC0-01A+AC0-
unc.edu.0984a482+AC0-7559+AC0-48b4+AC0-a09d+AC0-d95f78816f23.2397070.rsem.genes.normalized+AF8-results	TCGA+AC0-EJ+AC0-A8FN+AC0-01A+AC0-
unc.edu.0984a482+AC0-7559+AC0-48b4+AC0-a09d+AC0-d95f78816f23.2397071.rsem.isoforms.normalized+AF8-results	TCGA+AC0-EJ+AC0-A8FN+AC0-01A+AC0-
unc.edu.0984a482+AC0-7559+AC0-48b4+AC0-a09d+AC0-d95f78816f23.2397166.bt.exon+AF8-quantification.txt	TCGA+AC0-EJ+AC0-A8FN+AC0-01A+AC0-
unc.edu.0a67e3de+AC0-1840+AC0-44f1+AC0-ae19+AC0-14f3c2df230c.1896736.junction+AF8-quantification.txt	TCGA+AC0-HC+AC0-7079+AC0-01A+AC0-
unc.edu.0a67e3de+AC0-1840+AC0-44f1+AC0-ae19+AC0-14f3c2df230c.1897583.rsem.genes.results	TCGA+AC0-HC+AC0-7079+AC0-01A+AC0-
unc.edu.0a67e3de+AC0-1840+AC0-44f1+AC0-ae19+AC0-14f3c2df230c.1897584.rsem.isoforms.results	TCGA+AC0-HC+AC0-7079+AC0-01A+AC0-
unc.edu.0a67e3de+AC0-1840+AC0-44f1+AC0-ae19+AC0-14f3c2df230c.1897616.rsem.genes.normalized+AF8-results	TCGA+AC0-HC+AC0-7079+AC0-01A+AC0-
unc.edu.0a67e3de+AC0-1840+AC0-44f1+AC0-ae19+AC0-14f3c2df230c.1897617.rsem.isoforms.normalized+AF8-results	TCGA+AC0-HC+AC0-7079+AC0-01A+AC0-
unc.edu.0a67e3de+AC0-1840+AC0-44f1+AC0-ae19+AC0-14f3c2df230c.1897913.bt.exon+AF8-quantification.txt	TCGA+AC0-HC+AC0-7079+AC0-01A+AC0-
unc.edu.0b02de77+AC0-8d04+AC0-4be6+AC0-87db+AC0-0f0506ee5e54.2403114.junction+AF8-quantification.txt	TCGA+AC0-KK+AC0-A8I6+AC0-01A+AC0-
unc.edu.0b02de77+AC0-8d04+AC0-4be6+AC0-87db+AC0-0f0506ee5e54.2403703.rsem.genes.results	TCGA+AC0-KK+AC0-A8I6+AC0-01A+AC0-
unc.edu.0b02de77+AC0-8d04+AC0-4be6+AC0-87db+AC0-0f0506ee5e54.2403704.rsem.isoforms.results	TCGA+AC0-KK+AC0-A8I6+AC0-01A+AC0-
unc.edu.0b02de77+AC0-8d04+AC0-4be6+AC0-87db+AC0-0f0506ee5e54.2403714.rsem.isoforms.normalized+AF8-results	TCGA+AC0-KK+AC0-A8I6+AC0-01A+AC0-
unc.edu.0b02de77+AC0-8d04+AC0-4be6+AC0-87db+AC0-0f0506ee5e54.2403717.rsem.genes.normalized+AF8-results	TCGA+AC0-KK+AC0-A8I6+AC0-01A+AC0-
unc.edu.0b02de77+AC0-8d04+AC0-4be6+AC0-87db+AC0-0f0506ee5e54.2403805.bt.exon+AF8-quantification.txt	TCGA+AC0-KK+AC0-A8I6+AC0-01A+AC0-
unc.edu.0b50b27b+AC0-e429+AC0-41b1+AC0-8324+AC0-c9e03b6bbaaf.2245749.junction+AF8-quantification.txt	TCGA+AC0-EJ+AC0-7318+AC0-01B+AC0-
unc.edu.0b50b27b+AC0-e429+AC0-41b1+AC0-8324+AC0-c9e03b6bbaaf.2247062.rsem.genes.results	TCGA+AC0-EJ+AC0-7318+AC0-01B+AC0-
unc.edu.0b50b27b+AC0-e429+AC0-41b1+AC0-8324+AC0-c9e03b6bbaaf.2247063.rsem.isoforms.results	TCGA+AC0-EJ+AC0-7318+AC0-01B+AC0-
unc.edu.0b50b27b+AC0-e429+AC0-41b1+AC0-8324+AC0-c9e03b6bbaaf.2247097.rsem.genes.normalized+AF8-results	TCGA+AC0-EJ+AC0-7318+AC0-01B+AC0-
